time,lat,lon,alt
0.0,37.6213,-122.3790,10
60.0,37.7102,-121.9801,3200
120.0,37.9024,-121.2105,7800
180.0,38.2140,-120.1044,10400
240.0,38.6711,-118.5520,11200
300.0,39.2108,-116.4318,11400
360.0,39.8022,-113.9901,11500
420.0,40.2144,-111.2208,11500
480.0,40.5510,-108.1026,11450
540.0,40.8033,-104.7712,11300
600.0,40.9418,-101.2210,11000
660.0,41.0201,-97.3318,10600
720.0,41.0712,-93.2104,9800
780.0,41.1044,-88.9012,8200
840.0,41.1310,-84.2201,5400
900.0,41.1522,-80.1108,2100
960.0,41.1744,-76.4420,400
1020.0,40.6413,-73.7781,20
