time,lat,lon,alt,ve,vn,vu
0.00,30.271948,-89.015023,0.0,1532.48,-601.84,1571.97
0.77,30.267811,-89.002827,1199.9,1532.48,-601.84,1564.47
1.53,30.263673,-88.990632,2394.1,1532.48,-601.84,1556.97
2.30,30.259533,-88.978439,3582.5,1532.48,-601.84,1549.46
3.06,30.255393,-88.966246,4765.2,1532.48,-601.84,1541.96
3.83,30.251251,-88.954054,5942.1,1532.48,-601.84,1534.46
4.59,30.247108,-88.941863,7113.3,1532.48,-601.84,1526.95
5.36,30.242964,-88.929674,8278.8,1532.48,-601.84,1519.45
6.12,30.238819,-88.917485,9438.5,1532.48,-601.84,1511.94
6.89,30.234673,-88.905297,10592.5,1532.48,-601.84,1504.44
7.65,30.230525,-88.893111,11740.7,1532.48,-601.84,1496.94
8.42,30.226377,-88.880925,12883.2,1532.48,-601.84,1489.43
9.18,30.222227,-88.868741,14020.0,1532.48,-601.84,1481.93
9.95,30.218076,-88.856557,15151.0,1532.48,-601.84,1474.43
10.71,30.213924,-88.844375,16276.2,1532.48,-601.84,1466.92
11.48,30.209771,-88.832193,17395.8,1532.48,-601.84,1459.42
12.24,30.205617,-88.820013,18509.6,1532.48,-601.84,1451.92
13.01,30.201462,-88.807833,19617.6,1532.48,-601.84,1444.41
13.77,30.197306,-88.795655,20719.9,1532.48,-601.84,1436.91
14.54,30.193148,-88.783478,21816.5,1532.48,-601.84,1429.41
15.30,30.188990,-88.771301,22907.3,1532.48,-601.84,1421.90
16.07,30.184830,-88.759126,23992.4,1532.48,-601.84,1414.40
16.83,30.180669,-88.746952,25071.7,1532.48,-601.84,1406.90
17.60,30.176507,-88.734779,26145.3,1532.48,-601.84,1399.39
18.36,30.172344,-88.722606,27213.2,1532.48,-601.84,1391.89
19.13,30.168179,-88.710435,28275.3,1532.48,-601.84,1384.39
19.89,30.164014,-88.698265,29331.7,1532.48,-601.84,1376.88
20.66,30.159848,-88.686096,30382.3,1532.48,-601.84,1369.38
21.42,30.155680,-88.673928,31427.2,1532.48,-601.84,1361.88
22.19,30.151511,-88.661761,32466.4,1532.48,-601.84,1354.37
22.95,30.147341,-88.649595,33499.8,1532.48,-601.84,1346.87
23.72,30.143170,-88.637430,34527.5,1532.48,-601.84,1339.37
24.48,30.138998,-88.625266,35549.4,1532.48,-601.84,1331.86
