epoch,latitude,longitude,altitude_m
0.0,37.620000,-122.380000,200.0
8.0,37.637103,-122.185600,372.1
16.0,37.654204,-121.991200,542.8
24.0,37.671298,-121.796800,712.2
32.0,37.688382,-121.602400,880.1
40.0,37.705454,-121.408000,1,046.7
48.0,37.722510,-121.213600,1,211.9
56.0,37.739547,-121.019200,1,375.7
64.0,37.756562,-120.824800,1,538.2
72.0,37.773552,-120.630400,1,699.2
80.0,37.790513,-120.436000,1,858.9
88.0,37.807443,-120.241600,2,017.2
96.0,37.824339,-120.047200,2,174.1
104.0,37.841197,-119.852800,2,329.6
112.0,37.858015,-119.658400,2,483.7
120.0,37.874789,-119.464000,2,636.5
128.0,37.891517,-119.269600,2,787.9
136.0,37.908196,-119.075200,2,937.8
144.0,37.924822,-118.880800,3,086.5
152.0,37.941393,-118.686400,3,233.7
160.0,37.957906,-118.492000,3,379.5
168.0,37.974358,-118.297600,3,524.0
176.0,37.990747,-118.103200,3,667.1
184.0,38.007070,-117.908800,3,808.8
192.0,38.023323,-117.714400,3,949.1
200.0,38.039506,-117.520000,4,088.0
208.0,38.055613,-117.325600,4,225.5
216.0,38.071645,-117.131200,4,361.7
224.0,38.087597,-116.936800,4,496.5
232.0,38.103467,-116.742400,4,629.9
240.0,38.119254,-116.548000,4,761.9
248.0,38.134954,-116.353600,4,892.6
256.0,38.150565,-116.159200,5,021.8
264.0,38.166086,-115.964800,5,149.7
272.0,38.181513,-115.770400,5,276.2
280.0,38.196846,-115.576000,5,401.3
288.0,38.212081,-115.381600,5,525.0
296.0,38.227217,-115.187200,5,647.3
304.0,38.242252,-114.992800,5,768.3
312.0,38.257184,-114.798400,5,887.9
320.0,38.272011,-114.604000,6,006.1
328.0,38.286732,-114.409600,6,122.9
336.0,38.301344,-114.215200,6,238.3
344.0,38.315847,-114.020800,6,352.4
352.0,38.330238,-113.826400,6,465.0
360.0,38.344517,-113.632000,6,576.3
368.0,38.358681,-113.437600,6,686.2
376.0,38.372730,-113.243200,6,794.7
384.0,38.386662,-113.048800,6,901.9
392.0,38.400477,-112.854400,7,007.6
400.0,38.414172,-112.660000,7,112.0
408.0,38.427747,-112.465600,7,215.0
416.0,38.441202,-112.271200,7,316.6
424.0,38.454534,-112.076800,7,416.8
432.0,38.467744,-111.882400,7,515.7
440.0,38.480831,-111.688000,7,613.1
448.0,38.493794,-111.493600,7,709.2
456.0,38.506632,-111.299200,7,803.9
464.0,38.519346,-111.104800,7,897.2
472.0,38.531933,-110.910400,7,989.1
480.0,38.544396,-110.716000,8,079.7
488.0,38.556732,-110.521600,8,168.8
496.0,38.568942,-110.327200,8,256.6
504.0,38.581026,-110.132800,8,343.0
512.0,38.592984,-109.938400,8,428.0
520.0,38.604816,-109.744000,8,511.7
528.0,38.616521,-109.549600,8,593.9
536.0,38.628101,-109.355200,8,674.8
544.0,38.639556,-109.160800,8,754.3
552.0,38.650886,-108.966400,8,832.4
560.0,38.662091,-108.772000,8,909.1
568.0,38.673172,-108.577600,8,984.5
576.0,38.684130,-108.383200,9,058.4
584.0,38.694965,-108.188800,9,131.0
592.0,38.705678,-107.994400,9,202.2
600.0,38.716270,-107.800000,9,272.0
608.0,38.726742,-107.605600,9,340.4
616.0,38.737096,-107.411200,9,407.5
624.0,38.747331,-107.216800,9,473.1
632.0,38.757449,-107.022400,9,537.4
640.0,38.767452,-106.828000,9,600.3
648.0,38.777341,-106.633600,9,661.8
656.0,38.787117,-106.439200,9,722.0
664.0,38.796781,-106.244800,9,780.7
672.0,38.806335,-106.050400,9,838.1
680.0,38.815782,-105.856000,9,894.1
688.0,38.825121,-105.661600,9,948.7
696.0,38.834356,-105.467200,10,001.9
704.0,38.843487,-105.272800,10,053.7
712.0,38.852518,-105.078400,10,104.2
720.0,38.861449,-104.884000,10,153.3
728.0,38.870282,-104.689600,10,201.0
736.0,38.879021,-104.495200,10,247.3
744.0,38.887666,-104.300800,10,292.2
752.0,38.896220,-104.106400,10,335.8
760.0,38.904686,-103.912000,10,377.9
768.0,38.913065,-103.717600,10,418.7
776.0,38.921360,-103.523200,10,458.1
784.0,38.929573,-103.328800,10,496.1
792.0,38.937706,-103.134400,10,532.7
800.0,38.945763,-102.940000,10,568.0
808.0,38.953746,-102.745600,10,601.9
816.0,38.961656,-102.551200,10,634.4
824.0,38.969498,-102.356800,10,665.5
832.0,38.977274,-102.162400,10,695.2
840.0,38.984985,-101.968000,10,723.5
848.0,38.992636,-101.773600,10,750.5
856.0,39.000228,-101.579200,10,776.1
864.0,39.007766,-101.384800,10,800.2
872.0,39.015250,-101.190400,10,823.1
880.0,39.022685,-100.996000,10,844.5
888.0,39.030074,-100.801600,10,864.5
896.0,39.037419,-100.607200,10,883.2
904.0,39.044723,-100.412800,10,900.5
912.0,39.051990,-100.218400,10,916.4
920.0,39.059222,-100.024000,10,930.9
928.0,39.066422,-99.829600,10,944.0
936.0,39.073594,-99.635200,10,955.8
944.0,39.080741,-99.440800,10,966.1
952.0,39.087865,-99.246400,10,975.1
960.0,39.094970,-99.052000,10,982.7
968.0,39.102059,-98.857600,10,988.9
976.0,39.109135,-98.663200,10,993.8
984.0,39.116202,-98.468800,10,997.2
992.0,39.123262,-98.274400,10,999.3
1,000.0,39.130319,-98.080000,11,000.0
1,008.0,39.137375,-97.885600,10,999.3
1,016.0,39.144434,-97.691200,10,997.2
1,024.0,39.151500,-97.496800,10,993.8
1,032.0,39.158575,-97.302400,10,988.9
1,040.0,39.165662,-97.108000,10,982.7
1,048.0,39.172765,-96.913600,10,975.1
1,056.0,39.179887,-96.719200,10,966.1
1,064.0,39.187030,-96.524800,10,955.8
1,072.0,39.194199,-96.330400,10,944.0
1,080.0,39.201395,-96.136000,10,930.9
1,088.0,39.208623,-95.941600,10,916.4
1,096.0,39.215885,-95.747200,10,900.5
1,104.0,39.223184,-95.552800,10,883.2
1,112.0,39.230524,-95.358400,10,864.5
1,120.0,39.237907,-95.164000,10,844.5
1,128.0,39.245336,-94.969600,10,823.1
1,136.0,39.252814,-94.775200,10,800.2
1,144.0,39.260345,-94.580800,10,776.1
1,152.0,39.267930,-94.386400,10,750.5
1,160.0,39.275573,-94.192000,10,723.5
1,168.0,39.283277,-93.997600,10,695.2
1,176.0,39.291044,-93.803200,10,665.5
1,184.0,39.298877,-93.608800,10,634.4
1,192.0,39.306779,-93.414400,10,601.9
1,200.0,39.314752,-93.220000,10,568.0
1,208.0,39.322800,-93.025600,10,532.7
1,216.0,39.330923,-92.831200,10,496.1
1,224.0,39.339126,-92.636800,10,458.1
1,232.0,39.347411,-92.442400,10,418.7
1,240.0,39.355779,-92.248000,10,377.9
1,248.0,39.364233,-92.053600,10,335.8
1,256.0,39.372776,-91.859200,10,292.2
1,264.0,39.381410,-91.664800,10,247.3
1,272.0,39.390136,-91.470400,10,201.0
1,280.0,39.398958,-91.276000,10,153.3
1,288.0,39.407876,-91.081600,10,104.2
1,296.0,39.416894,-90.887200,10,053.7
1,304.0,39.426012,-90.692800,10,001.9
1,312.0,39.435234,-90.498400,9,948.7
1,320.0,39.444560,-90.304000,9,894.1
1,328.0,39.453993,-90.109600,9,838.1
1,336.0,39.463533,-89.915200,9,780.7
1,344.0,39.473184,-89.720800,9,722.0
1,352.0,39.482945,-89.526400,9,661.8
1,360.0,39.492819,-89.332000,9,600.3
1,368.0,39.502808,-89.137600,9,537.4
1,376.0,39.512911,-88.943200,9,473.1
1,384.0,39.523132,-88.748800,9,407.5
1,392.0,39.533470,-88.554400,9,340.4
1,400.0,39.543927,-88.360000,9,272.0
1,408.0,39.554504,-88.165600,9,202.2
1,416.0,39.565202,-87.971200,9,131.0
1,424.0,39.576021,-87.776800,9,058.4
1,432.0,39.586964,-87.582400,8,984.5
1,440.0,39.598029,-87.388000,8,909.1
1,448.0,39.609218,-87.193600,8,832.4
1,456.0,39.620532,-86.999200,8,754.3
1,464.0,39.631971,-86.804800,8,674.8
1,472.0,39.643535,-86.610400,8,593.9
1,480.0,39.655225,-86.416000,8,511.7
1,488.0,39.667041,-86.221600,8,428.0
1,496.0,39.678982,-86.027200,8,343.0
1,504.0,39.691050,-85.832800,8,256.6
1,512.0,39.703245,-85.638400,8,168.8
1,520.0,39.715565,-85.444000,8,079.7
1,528.0,39.728011,-85.249600,7,989.1
1,536.0,39.740583,-85.055200,7,897.2
1,544.0,39.753281,-84.860800,7,803.9
1,552.0,39.766103,-84.666400,7,709.2
1,560.0,39.779050,-84.472000,7,613.1
1,568.0,39.792121,-84.277600,7,515.7
1,576.0,39.805316,-84.083200,7,416.8
1,584.0,39.818633,-83.888800,7,316.6
1,592.0,39.832072,-83.694400,7,215.0
1,600.0,39.845632,-83.500000,7,112.0
1,608.0,39.859312,-83.305600,7,007.6
1,616.0,39.873111,-83.111200,6,901.9
1,624.0,39.887029,-82.916800,6,794.7
1,632.0,39.901063,-82.722400,6,686.2
1,640.0,39.915213,-82.528000,6,576.3
1,648.0,39.929477,-82.333600,6,465.0
1,656.0,39.943854,-82.139200,6,352.4
1,664.0,39.958343,-81.944800,6,238.3
1,672.0,39.972941,-81.750400,6,122.9
1,680.0,39.987648,-81.556000,6,006.1
1,688.0,40.002462,-81.361600,5,887.9
1,696.0,40.017381,-81.167200,5,768.3
1,704.0,40.032403,-80.972800,5,647.3
1,712.0,40.047526,-80.778400,5,525.0
1,720.0,40.062749,-80.584000,5,401.3
1,728.0,40.078069,-80.389600,5,276.2
1,736.0,40.093485,-80.195200,5,149.7
1,744.0,40.108993,-80.000800,5,021.8
1,752.0,40.124593,-79.806400,4,892.6
1,760.0,40.140282,-79.612000,4,761.9
1,768.0,40.156058,-79.417600,4,629.9
1,776.0,40.171918,-79.223200,4,496.5
1,784.0,40.187860,-79.028800,4,361.7
1,792.0,40.203881,-78.834400,4,225.5
1,800.0,40.219980,-78.640000,4,088.0
1,808.0,40.236152,-78.445600,3,949.1
1,816.0,40.252397,-78.251200,3,808.8
1,824.0,40.268711,-78.056800,3,667.1
1,832.0,40.285092,-77.862400,3,524.0
1,840.0,40.301536,-77.668000,3,379.5
1,848.0,40.318042,-77.473600,3,233.7
1,856.0,40.334606,-77.279200,3,086.5
1,864.0,40.351225,-77.084800,2,937.8
1,872.0,40.367897,-76.890400,2,787.9
1,880.0,40.384619,-76.696000,2,636.5
1,888.0,40.401387,-76.501600,2,483.7
1,896.0,40.418200,-76.307200,2,329.6
1,904.0,40.435053,-76.112800,2,174.1
1,912.0,40.451944,-75.918400,2,017.2
1,920.0,40.468870,-75.724000,1,858.9
1,928.0,40.485828,-75.529600,1,699.2
1,936.0,40.502814,-75.335200,1,538.2
1,944.0,40.519826,-75.140800,1,375.7
1,952.0,40.536860,-74.946400,1,211.9
1,960.0,40.553914,-74.752000,1,046.7
1,968.0,40.570984,-74.557600,880.1
1,976.0,40.588067,-74.363200,712.2
1,984.0,40.605160,-74.168800,542.8
1,992.0,40.622260,-73.974400,372.1
2,000.0,40.639363,-73.780000,200.0
