epoch,latitude,longitude,altitude_m
0.0,51.470000,-0.450000,200.0
8.0,51.411343,0.110920,372.1
16.0,51.352684,0.671840,542.8
24.0,51.294018,1.232760,712.2
32.0,51.235342,1.793680,880.1
40.0,51.176654,2.354600,1,046.7
48.0,51.117950,2.915520,1,211.9
56.0,51.059227,3.476440,1,375.7
64.0,51.000482,4.037360,1,538.2
72.0,50.941712,4.598280,1,699.2
80.0,50.882913,5.159200,1,858.9
88.0,50.824083,5.720120,2,017.2
96.0,50.765219,6.281040,2,174.1
104.0,50.706317,6.841960,2,329.6
112.0,50.647375,7.402880,2,483.7
120.0,50.588389,7.963800,2,636.5
128.0,50.529357,8.524720,2,787.9
136.0,50.470276,9.085640,2,937.8
144.0,50.411142,9.646560,3,086.5
152.0,50.351953,10.207480,3,233.7
160.0,50.292706,10.768400,3,379.5
168.0,50.233398,11.329320,3,524.0
176.0,50.174027,11.890240,3,667.1
184.0,50.114590,12.451160,3,808.8
192.0,50.055083,13.012080,3,949.1
200.0,49.995506,13.573000,4,088.0
208.0,49.935853,14.133920,4,225.5
216.0,49.876125,14.694840,4,361.7
224.0,49.816317,15.255760,4,496.5
232.0,49.756427,15.816680,4,629.9
240.0,49.696454,16.377600,4,761.9
248.0,49.636394,16.938520,4,892.6
256.0,49.576245,17.499440,5,021.8
264.0,49.516006,18.060360,5,149.7
272.0,49.455673,18.621280,5,276.2
280.0,49.395246,19.182200,5,401.3
288.0,49.334721,19.743120,5,525.0
296.0,49.274097,20.304040,5,647.3
304.0,49.213372,20.864960,5,768.3
312.0,49.152544,21.425880,5,887.9
320.0,49.091611,21.986800,6,006.1
328.0,49.030572,22.547720,6,122.9
336.0,48.969424,23.108640,6,238.3
344.0,48.908167,23.669560,6,352.4
352.0,48.846798,24.230480,6,465.0
360.0,48.785317,24.791400,6,576.3
368.0,48.723721,25.352320,6,686.2
376.0,48.662010,25.913240,6,794.7
384.0,48.600182,26.474160,6,901.9
392.0,48.538237,27.035080,7,007.6
400.0,48.476172,27.596000,7,112.0
408.0,48.413987,28.156920,7,215.0
416.0,48.351682,28.717840,7,316.6
424.0,48.289254,29.278760,7,416.8
432.0,48.226704,29.839680,7,515.7
440.0,48.164031,30.400600,7,613.1
448.0,48.101234,30.961520,7,709.2
456.0,48.038312,31.522440,7,803.9
464.0,47.975266,32.083360,7,897.2
472.0,47.912093,32.644280,7,989.1
480.0,47.848796,33.205200,8,079.7
488.0,47.785372,33.766120,8,168.8
496.0,47.721822,34.327040,8,256.6
504.0,47.658146,34.887960,8,343.0
512.0,47.594344,35.448880,8,428.0
520.0,47.530416,36.009800,8,511.7
528.0,47.466361,36.570720,8,593.9
536.0,47.402181,37.131640,8,674.8
544.0,47.337876,37.692560,8,754.3
552.0,47.273446,38.253480,8,832.4
560.0,47.208891,38.814400,8,909.1
568.0,47.144212,39.375320,8,984.5
576.0,47.079410,39.936240,9,058.4
584.0,47.014485,40.497160,9,131.0
592.0,46.949438,41.058080,9,202.2
600.0,46.884270,41.619000,9,272.0
608.0,46.818982,42.179920,9,340.4
616.0,46.753576,42.740840,9,407.5
624.0,46.688051,43.301760,9,473.1
632.0,46.622409,43.862680,9,537.4
640.0,46.556652,44.423600,9,600.3
648.0,46.490781,44.984520,9,661.8
656.0,46.424797,45.545440,9,722.0
664.0,46.358701,46.106360,9,780.7
672.0,46.292495,46.667280,9,838.1
680.0,46.226182,47.228200,9,894.1
688.0,46.159761,47.789120,9,948.7
696.0,46.093236,48.350040,10,001.9
704.0,46.026607,48.910960,10,053.7
712.0,45.959878,49.471880,10,104.2
720.0,45.893049,50.032800,10,153.3
728.0,45.826122,50.593720,10,201.0
736.0,45.759101,51.154640,10,247.3
744.0,45.691986,51.715560,10,292.2
752.0,45.624780,52.276480,10,335.8
760.0,45.557486,52.837400,10,377.9
768.0,45.490105,53.398320,10,418.7
776.0,45.422640,53.959240,10,458.1
784.0,45.355093,54.520160,10,496.1
792.0,45.287466,55.081080,10,532.7
800.0,45.219763,55.642000,10,568.0
808.0,45.151986,56.202920,10,601.9
816.0,45.084136,56.763840,10,634.4
824.0,45.016218,57.324760,10,665.5
832.0,44.948234,57.885680,10,695.2
840.0,44.880185,58.446600,10,723.5
848.0,44.812076,59.007520,10,750.5
856.0,44.743908,59.568440,10,776.1
864.0,44.675686,60.129360,10,800.2
872.0,44.607410,60.690280,10,823.1
880.0,44.539085,61.251200,10,844.5
888.0,44.470714,61.812120,10,864.5
896.0,44.402299,62.373040,10,883.2
904.0,44.333843,62.933960,10,900.5
912.0,44.265350,63.494880,10,916.4
920.0,44.196822,64.055800,10,930.9
928.0,44.128262,64.616720,10,944.0
936.0,44.059674,65.177640,10,955.8
944.0,43.991061,65.738560,10,966.1
952.0,43.922425,66.299480,10,975.1
960.0,43.853770,66.860400,10,982.7
968.0,43.785099,67.421320,10,988.9
976.0,43.716415,67.982240,10,993.8
984.0,43.647722,68.543160,10,997.2
992.0,43.579022,69.104080,10,999.3
1,000.0,43.510319,69.665000,11,000.0
1,008.0,43.441615,70.225920,10,999.3
1,016.0,43.372914,70.786840,10,997.2
1,024.0,43.304220,71.347760,10,993.8
1,032.0,43.235535,71.908680,10,988.9
1,040.0,43.166862,72.469600,10,982.7
1,048.0,43.098205,73.030520,10,975.1
1,056.0,43.029567,73.591440,10,966.1
1,064.0,42.960950,74.152360,10,955.8
1,072.0,42.892359,74.713280,10,944.0
1,080.0,42.823795,75.274200,10,930.9
1,088.0,42.755263,75.835120,10,916.4
1,096.0,42.686765,76.396040,10,900.5
1,104.0,42.618304,76.956960,10,883.2
1,112.0,42.549884,77.517880,10,864.5
1,120.0,42.481507,78.078800,10,844.5
1,128.0,42.413176,78.639720,10,823.1
1,136.0,42.344894,79.200640,10,800.2
1,144.0,42.276665,79.761560,10,776.1
1,152.0,42.208490,80.322480,10,750.5
1,160.0,42.140373,80.883400,10,723.5
1,168.0,42.072317,81.444320,10,695.2
1,176.0,42.004324,82.005240,10,665.5
1,184.0,41.936397,82.566160,10,634.4
1,192.0,41.868539,83.127080,10,601.9
1,200.0,41.800752,83.688000,10,568.0
1,208.0,41.733040,84.248920,10,532.7
1,216.0,41.665403,84.809840,10,496.1
1,224.0,41.597846,85.370760,10,458.1
1,232.0,41.530371,85.931680,10,418.7
1,240.0,41.462979,86.492600,10,377.9
1,248.0,41.395673,87.053520,10,335.8
1,256.0,41.328456,87.614440,10,292.2
1,264.0,41.261330,88.175360,10,247.3
1,272.0,41.194296,88.736280,10,201.0
1,280.0,41.127358,89.297200,10,153.3
1,288.0,41.060516,89.858120,10,104.2
1,296.0,40.993774,90.419040,10,053.7
1,304.0,40.927132,90.979960,10,001.9
1,312.0,40.860594,91.540880,9,948.7
1,320.0,40.794160,92.101800,9,894.1
1,328.0,40.727833,92.662720,9,838.1
1,336.0,40.661613,93.223640,9,780.7
1,344.0,40.595504,93.784560,9,722.0
1,352.0,40.529505,94.345480,9,661.8
1,360.0,40.463619,94.906400,9,600.3
1,368.0,40.397848,95.467320,9,537.4
1,376.0,40.332191,96.028240,9,473.1
1,384.0,40.266652,96.589160,9,407.5
1,392.0,40.201230,97.150080,9,340.4
1,400.0,40.135927,97.711000,9,272.0
1,408.0,40.070744,98.271920,9,202.2
1,416.0,40.005682,98.832840,9,131.0
1,424.0,39.940741,99.393760,9,058.4
1,432.0,39.875924,99.954680,8,984.5
1,440.0,39.811229,100.515600,8,909.1
1,448.0,39.746658,101.076520,8,832.4
1,456.0,39.682212,101.637440,8,754.3
1,464.0,39.617891,102.198360,8,674.8
1,472.0,39.553695,102.759280,8,593.9
1,480.0,39.489625,103.320200,8,511.7
1,488.0,39.425681,103.881120,8,428.0
1,496.0,39.361862,104.442040,8,343.0
1,504.0,39.298170,105.002960,8,256.6
1,512.0,39.234605,105.563880,8,168.8
1,520.0,39.171165,106.124800,8,079.7
1,528.0,39.107851,106.685720,7,989.1
1,536.0,39.044663,107.246640,7,897.2
1,544.0,38.981601,107.807560,7,803.9
1,552.0,38.918663,108.368480,7,709.2
1,560.0,38.855850,108.929400,7,613.1
1,568.0,38.793161,109.490320,7,515.7
1,576.0,38.730596,110.051240,7,416.8
1,584.0,38.668153,110.612160,7,316.6
1,592.0,38.605832,111.173080,7,215.0
1,600.0,38.543632,111.734000,7,112.0
1,608.0,38.481552,112.294920,7,007.6
1,616.0,38.419591,112.855840,6,901.9
1,624.0,38.357749,113.416760,6,794.7
1,632.0,38.296023,113.977680,6,686.2
1,640.0,38.234413,114.538600,6,576.3
1,648.0,38.172917,115.099520,6,465.0
1,656.0,38.111534,115.660440,6,352.4
1,664.0,38.050263,116.221360,6,238.3
1,672.0,37.989101,116.782280,6,122.9
1,680.0,37.928048,117.343200,6,006.1
1,688.0,37.867102,117.904120,5,887.9
1,696.0,37.806261,118.465040,5,768.3
1,704.0,37.745523,119.025960,5,647.3
1,712.0,37.684886,119.586880,5,525.0
1,720.0,37.624349,120.147800,5,401.3
1,728.0,37.563909,120.708720,5,276.2
1,736.0,37.503565,121.269640,5,149.7
1,744.0,37.443313,121.830560,5,021.8
1,752.0,37.383153,122.391480,4,892.6
