epoch,latitude,longitude,altitude_m
0.0,-23.440000,-46.470000,200.0
8.0,-23.145177,-46.273920,372.1
16.0,-22.850356,-46.077840,542.8
24.0,-22.555542,-45.881760,712.2
32.0,-22.260738,-45.685680,880.1
40.0,-21.965946,-45.489600,1,046.7
48.0,-21.671170,-45.293520,1,211.9
56.0,-21.376413,-45.097440,1,375.7
64.0,-21.081678,-44.901360,1,538.2
72.0,-20.786968,-44.705280,1,699.2
80.0,-20.492287,-44.509200,1,858.9
88.0,-20.197637,-44.313120,2,017.2
96.0,-19.903021,-44.117040,2,174.1
104.0,-19.608443,-43.920960,2,329.6
112.0,-19.313905,-43.724880,2,483.7
120.0,-19.019411,-43.528800,2,636.5
128.0,-18.724963,-43.332720,2,787.9
136.0,-18.430564,-43.136640,2,937.8
144.0,-18.136218,-42.940560,3,086.5
152.0,-17.841927,-42.744480,3,233.7
160.0,-17.547694,-42.548400,3,379.5
168.0,-17.253522,-42.352320,3,524.0
176.0,-16.959413,-42.156240,3,667.1
184.0,-16.665370,-41.960160,3,808.8
192.0,-16.371397,-41.764080,3,949.1
200.0,-16.077494,-41.568000,4,088.0
208.0,-15.783667,-41.371920,4,225.5
216.0,-15.489915,-41.175840,4,361.7
224.0,-15.196243,-40.979760,4,496.5
232.0,-14.902653,-40.783680,4,629.9
240.0,-14.609146,-40.587600,4,761.9
248.0,-14.315726,-40.391520,4,892.6
256.0,-14.022395,-40.195440,5,021.8
264.0,-13.729154,-39.999360,5,149.7
272.0,-13.436007,-39.803280,5,276.2
280.0,-13.142954,-39.607200,5,401.3
288.0,-12.849999,-39.411120,5,525.0
296.0,-12.557143,-39.215040,5,647.3
304.0,-12.264388,-39.018960,5,768.3
312.0,-11.971736,-38.822880,5,887.9
320.0,-11.679189,-38.626800,6,006.1
328.0,-11.386748,-38.430720,6,122.9
336.0,-11.094416,-38.234640,6,238.3
344.0,-10.802193,-38.038560,6,352.4
352.0,-10.510082,-37.842480,6,465.0
360.0,-10.218083,-37.646400,6,576.3
368.0,-9.926199,-37.450320,6,686.2
376.0,-9.634430,-37.254240,6,794.7
384.0,-9.342778,-37.058160,6,901.9
392.0,-9.051243,-36.862080,7,007.6
400.0,-8.759828,-36.666000,7,112.0
408.0,-8.468533,-36.469920,7,215.0
416.0,-8.177358,-36.273840,7,316.6
424.0,-7.886306,-36.077760,7,416.8
432.0,-7.595376,-35.881680,7,515.7
440.0,-7.304569,-35.685600,7,613.1
448.0,-7.013886,-35.489520,7,709.2
456.0,-6.723328,-35.293440,7,803.9
464.0,-6.432894,-35.097360,7,897.2
472.0,-6.142587,-34.901280,7,989.1
480.0,-5.852404,-34.705200,8,079.7
488.0,-5.562348,-34.509120,8,168.8
496.0,-5.272418,-34.313040,8,256.6
504.0,-4.982614,-34.116960,8,343.0
512.0,-4.692936,-33.920880,8,428.0
520.0,-4.403384,-33.724800,8,511.7
528.0,-4.113959,-33.528720,8,593.9
536.0,-3.824659,-33.332640,8,674.8
544.0,-3.535484,-33.136560,8,754.3
552.0,-3.246434,-32.940480,8,832.4
560.0,-2.957509,-32.744400,8,909.1
568.0,-2.668708,-32.548320,8,984.5
576.0,-2.380030,-32.352240,9,058.4
584.0,-2.091475,-32.156160,9,131.0
592.0,-1.803042,-31.960080,9,202.2
600.0,-1.514730,-31.764000,9,272.0
608.0,-1.226538,-31.567920,9,340.4
616.0,-0.938464,-31.371840,9,407.5
624.0,-0.650509,-31.175760,9,473.1
632.0,-0.362671,-30.979680,9,537.4
640.0,-0.074948,-30.783600,9,600.3
648.0,0.212661,-30.587520,9,661.8
656.0,0.500157,-30.391440,9,722.0
664.0,0.787541,-30.195360,9,780.7
672.0,1.074815,-29.999280,9,838.1
680.0,1.361982,-29.803200,9,894.1
688.0,1.649041,-29.607120,9,948.7
696.0,1.935996,-29.411040,10,001.9
704.0,2.222847,-29.214960,10,053.7
712.0,2.509598,-29.018880,10,104.2
720.0,2.796249,-28.822800,10,153.3
728.0,3.082802,-28.626720,10,201.0
736.0,3.369261,-28.430640,10,247.3
744.0,3.655626,-28.234560,10,292.2
752.0,3.941900,-28.038480,10,335.8
760.0,4.228086,-27.842400,10,377.9
768.0,4.514185,-27.646320,10,418.7
776.0,4.800200,-27.450240,10,458.1
784.0,5.086133,-27.254160,10,496.1
792.0,5.371986,-27.058080,10,532.7
800.0,5.657763,-26.862000,10,568.0
808.0,5.943466,-26.665920,10,601.9
816.0,6.229096,-26.469840,10,634.4
824.0,6.514658,-26.273760,10,665.5
832.0,6.800154,-26.077680,10,695.2
840.0,7.085585,-25.881600,10,723.5
848.0,7.370956,-25.685520,10,750.5
856.0,7.656268,-25.489440,10,776.1
864.0,7.941526,-25.293360,10,800.2
872.0,8.226730,-25.097280,10,823.1
880.0,8.511885,-24.901200,10,844.5
888.0,8.796994,-24.705120,10,864.5
896.0,9.082059,-24.509040,10,883.2
904.0,9.367083,-24.312960,10,900.5
912.0,9.652070,-24.116880,10,916.4
920.0,9.937022,-23.920800,10,930.9
928.0,10.221942,-23.724720,10,944.0
936.0,10.506834,-23.528640,10,955.8
944.0,10.791701,-23.332560,10,966.1
952.0,11.076545,-23.136480,10,975.1
960.0,11.361370,-22.940400,10,982.7
968.0,11.646179,-22.744320,10,988.9
976.0,11.930975,-22.548240,10,993.8
984.0,12.215762,-22.352160,10,997.2
