epoch,latitude,longitude,altitude_m
0.0,48.860000,2.350000,200.0
8.0,48.879663,2.394200,372.1
16.0,48.899324,2.438400,542.8
24.0,48.918978,2.482600,712.2
32.0,48.938622,2.526800,880.1
40.0,48.958254,2.571000,1,046.7
48.0,48.977870,2.615200,1,211.9
56.0,48.997467,2.659400,1,375.7
64.0,49.017042,2.703600,1,538.2
72.0,49.036592,2.747800,1,699.2
80.0,49.056113,2.792000,1,858.9
88.0,49.075603,2.836200,2,017.2
96.0,49.095059,2.880400,2,174.1
104.0,49.114477,2.924600,2,329.6
112.0,49.133855,2.968800,2,483.7
120.0,49.153189,3.013000,2,636.5
128.0,49.172477,3.057200,2,787.9
136.0,49.191716,3.101400,2,937.8
144.0,49.210902,3.145600,3,086.5
152.0,49.230033,3.189800,3,233.7
160.0,49.249106,3.234000,3,379.5
168.0,49.268118,3.278200,3,524.0
176.0,49.287067,3.322400,3,667.1
184.0,49.305950,3.366600,3,808.8
192.0,49.324763,3.410800,3,949.1
200.0,49.343506,3.455000,4,088.0
208.0,49.362173,3.499200,4,225.5
216.0,49.380765,3.543400,4,361.7
224.0,49.399277,3.587600,4,496.5
232.0,49.417707,3.631800,4,629.9
240.0,49.436054,3.676000,4,761.9
248.0,49.454314,3.720200,4,892.6
256.0,49.472485,3.764400,5,021.8
264.0,49.490566,3.808600,5,149.7
272.0,49.508553,3.852800,5,276.2
280.0,49.526446,3.897000,5,401.3
288.0,49.544241,3.941200,5,525.0
296.0,49.561937,3.985400,5,647.3
304.0,49.579532,4.029600,5,768.3
312.0,49.597024,4.073800,5,887.9
320.0,49.614411,4.118000,6,006.1
328.0,49.631692,4.162200,6,122.9
336.0,49.648864,4.206400,6,238.3
344.0,49.665927,4.250600,6,352.4
352.0,49.682878,4.294800,6,465.0
360.0,49.699717,4.339000,6,576.3
368.0,49.716441,4.383200,6,686.2
376.0,49.733050,4.427400,6,794.7
384.0,49.749542,4.471600,6,901.9
392.0,49.765917,4.515800,7,007.6
400.0,49.782172,4.560000,7,112.0
408.0,49.798307,4.604200,7,215.0
416.0,49.814322,4.648400,7,316.6
424.0,49.830214,4.692600,7,416.8
432.0,49.845984,4.736800,7,515.7
440.0,49.861631,4.781000,7,613.1
448.0,49.877154,4.825200,7,709.2
456.0,49.892552,4.869400,7,803.9
464.0,49.907826,4.913600,7,897.2
472.0,49.922973,4.957800,7,989.1
480.0,49.937996,5.002000,8,079.7
488.0,49.952892,5.046200,8,168.8
496.0,49.967662,5.090400,8,256.6
504.0,49.982306,5.134600,8,343.0
512.0,49.996824,5.178800,8,428.0
520.0,50.011216,5.223000,8,511.7
528.0,50.025481,5.267200,8,593.9
536.0,50.039621,5.311400,8,674.8
544.0,50.053636,5.355600,8,754.3
552.0,50.067526,5.399800,8,832.4
560.0,50.081291,5.444000,8,909.1
568.0,50.094932,5.488200,8,984.5
576.0,50.108450,5.532400,9,058.4
584.0,50.121845,5.576600,9,131.0
592.0,50.135118,5.620800,9,202.2
600.0,50.148270,5.665000,9,272.0
608.0,50.161302,5.709200,9,340.4
616.0,50.174216,5.753400,9,407.5
624.0,50.187011,5.797600,9,473.1
632.0,50.199689,5.841800,9,537.4
640.0,50.212252,5.886000,9,600.3
648.0,50.224701,5.930200,9,661.8
656.0,50.237037,5.974400,9,722.0
664.0,50.249261,6.018600,9,780.7
672.0,50.261375,6.062800,9,838.1
680.0,50.273382,6.107000,9,894.1
688.0,50.285281,6.151200,9,948.7
696.0,50.297076,6.195400,10,001.9
704.0,50.308767,6.239600,10,053.7
712.0,50.320358,6.283800,10,104.2
720.0,50.331849,6.328000,10,153.3
728.0,50.343242,6.372200,10,201.0
736.0,50.354541,6.416400,10,247.3
744.0,50.365746,6.460600,10,292.2
752.0,50.376860,6.504800,10,335.8
760.0,50.387886,6.549000,10,377.9
768.0,50.398825,6.593200,10,418.7
776.0,50.409680,6.637400,10,458.1
784.0,50.420453,6.681600,10,496.1
792.0,50.431146,6.725800,10,532.7
800.0,50.441763,6.770000,10,568.0
808.0,50.452306,6.814200,10,601.9
816.0,50.462776,6.858400,10,634.4
824.0,50.473178,6.902600,10,665.5
832.0,50.483514,6.946800,10,695.2
840.0,50.493785,6.991000,10,723.5
848.0,50.503996,7.035200,10,750.5
856.0,50.514148,7.079400,10,776.1
864.0,50.524246,7.123600,10,800.2
872.0,50.534290,7.167800,10,823.1
880.0,50.544285,7.212000,10,844.5
888.0,50.554234,7.256200,10,864.5
896.0,50.564139,7.300400,10,883.2
904.0,50.574003,7.344600,10,900.5
912.0,50.583830,7.388800,10,916.4
920.0,50.593622,7.433000,10,930.9
928.0,50.603382,7.477200,10,944.0
936.0,50.613114,7.521400,10,955.8
944.0,50.622821,7.565600,10,966.1
952.0,50.632505,7.609800,10,975.1
960.0,50.642170,7.654000,10,982.7
968.0,50.651819,7.698200,10,988.9
976.0,50.661455,7.742400,10,993.8
984.0,50.671082,7.786600,10,997.2
992.0,50.680702,7.830800,10,999.3
1,000.0,50.690319,7.875000,11,000.0
1,008.0,50.699935,7.919200,10,999.3
1,016.0,50.709554,7.963400,10,997.2
1,024.0,50.719180,8.007600,10,993.8
1,032.0,50.728815,8.051800,10,988.9
1,040.0,50.738462,8.096000,10,982.7
1,048.0,50.748125,8.140200,10,975.1
1,056.0,50.757807,8.184400,10,966.1
1,064.0,50.767510,8.228600,10,955.8
1,072.0,50.777239,8.272800,10,944.0
1,080.0,50.786995,8.317000,10,930.9
1,088.0,50.796783,8.361200,10,916.4
1,096.0,50.806605,8.405400,10,900.5
1,104.0,50.816464,8.449600,10,883.2
1,112.0,50.826364,8.493800,10,864.5
1,120.0,50.836307,8.538000,10,844.5
1,128.0,50.846296,8.582200,10,823.1
1,136.0,50.856334,8.626400,10,800.2
1,144.0,50.866425,8.670600,10,776.1
1,152.0,50.876570,8.714800,10,750.5
1,160.0,50.886773,8.759000,10,723.5
1,168.0,50.897037,8.803200,10,695.2
1,176.0,50.907364,8.847400,10,665.5
1,184.0,50.917757,8.891600,10,634.4
1,192.0,50.928219,8.935800,10,601.9
1,200.0,50.938752,8.980000,10,568.0
1,208.0,50.949360,9.024200,10,532.7
1,216.0,50.960043,9.068400,10,496.1
1,224.0,50.970806,9.112600,10,458.1
1,232.0,50.981651,9.156800,10,418.7
1,240.0,50.992579,9.201000,10,377.9
1,248.0,51.003593,9.245200,10,335.8
1,256.0,51.014696,9.289400,10,292.2
1,264.0,51.025890,9.333600,10,247.3
1,272.0,51.037176,9.377800,10,201.0
1,280.0,51.048558,9.422000,10,153.3
1,288.0,51.060036,9.466200,10,104.2
1,296.0,51.071614,9.510400,10,053.7
1,304.0,51.083292,9.554600,10,001.9
1,312.0,51.095074,9.598800,9,948.7
1,320.0,51.106960,9.643000,9,894.1
1,328.0,51.118953,9.687200,9,838.1
1,336.0,51.131053,9.731400,9,780.7
1,344.0,51.143264,9.775600,9,722.0
1,352.0,51.155585,9.819800,9,661.8
1,360.0,51.168019,9.864000,9,600.3
1,368.0,51.180568,9.908200,9,537.4
1,376.0,51.193231,9.952400,9,473.1
1,384.0,51.206012,9.996600,9,407.5
1,392.0,51.218910,10.040800,9,340.4
1,400.0,51.231927,10.085000,9,272.0
1,408.0,51.245064,10.129200,9,202.2
1,416.0,51.258322,10.173400,9,131.0
1,424.0,51.271701,10.217600,9,058.4
1,432.0,51.285204,10.261800,8,984.5
1,440.0,51.298829,10.306000,8,909.1
1,448.0,51.312578,10.350200,8,832.4
1,456.0,51.326452,10.394400,8,754.3
1,464.0,51.340451,10.438600,8,674.8
1,472.0,51.354575,10.482800,8,593.9
1,480.0,51.368825,10.527000,8,511.7
1,488.0,51.383201,10.571200,8,428.0
1,496.0,51.397702,10.615400,8,343.0
1,504.0,51.412330,10.659600,8,256.6
1,512.0,51.427085,10.703800,8,168.8
1,520.0,51.441965,10.748000,8,079.7
1,528.0,51.456971,10.792200,7,989.1
1,536.0,51.472103,10.836400,7,897.2
1,544.0,51.487361,10.880600,7,803.9
1,552.0,51.502743,10.924800,7,709.2
1,560.0,51.518250,10.969000,7,613.1
1,568.0,51.533881,11.013200,7,515.7
1,576.0,51.549636,11.057400,7,416.8
1,584.0,51.565513,11.101600,7,316.6
1,592.0,51.581512,11.145800,7,215.0
1,600.0,51.597632,11.190000,7,112.0
1,608.0,51.613872,11.234200,7,007.6
1,616.0,51.630231,11.278400,6,901.9
1,624.0,51.646709,11.322600,6,794.7
1,632.0,51.663303,11.366800,6,686.2
1,640.0,51.680013,11.411000,6,576.3
1,648.0,51.696837,11.455200,6,465.0
1,656.0,51.713774,11.499400,6,352.4
1,664.0,51.730823,11.543600,6,238.3
1,672.0,51.747981,11.587800,6,122.9
1,680.0,51.765248,11.632000,6,006.1
1,688.0,51.782622,11.676200,5,887.9
1,696.0,51.800101,11.720400,5,768.3
1,704.0,51.817683,11.764600,5,647.3
1,712.0,51.835366,11.808800,5,525.0
1,720.0,51.853149,11.853000,5,401.3
1,728.0,51.871029,11.897200,5,276.2
1,736.0,51.889005,11.941400,5,149.7
1,744.0,51.907073,11.985600,5,021.8
1,752.0,51.925233,12.029800,4,892.6
1,760.0,51.943482,12.074000,4,761.9
1,768.0,51.961818,12.118200,4,629.9
1,776.0,51.980238,12.162400,4,496.5
1,784.0,51.998740,12.206600,4,361.7
1,792.0,52.017321,12.250800,4,225.5
1,800.0,52.035980,12.295000,4,088.0
1,808.0,52.054712,12.339200,3,949.1
1,816.0,52.073517,12.383400,3,808.8
1,824.0,52.092391,12.427600,3,667.1
1,832.0,52.111332,12.471800,3,524.0
1,840.0,52.130336,12.516000,3,379.5
1,848.0,52.149402,12.560200,3,233.7
1,856.0,52.168526,12.604400,3,086.5
1,864.0,52.187705,12.648600,2,937.8
1,872.0,52.206937,12.692800,2,787.9
1,880.0,52.226219,12.737000,2,636.5
1,888.0,52.245547,12.781200,2,483.7
1,896.0,52.264920,12.825400,2,329.6
1,904.0,52.284333,12.869600,2,174.1
1,912.0,52.303784,12.913800,2,017.2
1,920.0,52.323270,12.958000,1,858.9
1,928.0,52.342788,13.002200,1,699.2
1,936.0,52.362334,13.046400,1,538.2
1,944.0,52.381906,13.090600,1,375.7
1,952.0,52.401500,13.134800,1,211.9
1,960.0,52.421114,13.179000,1,046.7
1,968.0,52.440744,13.223200,880.1
1,976.0,52.460387,13.267400,712.2
1,984.0,52.480040,13.311600,542.8
1,992.0,52.499700,13.355800,372.1
2,000.0,52.519363,13.400000,200.0
