t,lat,lon,alt
0.0,37.621000,-122.379000,800.0
9.1,37.611050,-122.394919,967.5
18.2,37.601100,-122.410839,1134.9
27.3,37.591150,-122.426758,1301.9
36.4,37.581200,-122.442678,1468.4
45.5,37.571250,-122.458597,1634.2
54.5,37.561299,-122.474516,1799.2
63.6,37.551349,-122.490436,1963.2
72.7,37.541399,-122.506355,2126.1
81.8,37.531449,-122.522275,2287.5
90.9,37.521499,-122.538194,2447.5
100.0,37.511549,-122.554114,2605.9
109.1,37.501599,-122.570033,2762.4
118.2,37.491649,-122.585952,2916.9
127.3,37.481699,-122.601872,3069.3
136.4,37.471749,-122.617791,3219.4
145.5,37.461799,-122.633711,3367.1
154.5,37.451849,-122.649630,3512.2
163.6,37.441898,-122.665549,3654.6
172.7,37.431948,-122.681469,3794.1
181.8,37.421998,-122.697388,3930.6
190.9,37.412048,-122.713308,4063.9
200.0,37.402098,-122.729227,4193.9
209.1,37.392148,-122.745146,4320.5
218.2,37.382198,-122.761066,4443.6
227.3,37.372248,-122.776985,4563.0
236.4,37.362298,-122.792905,4678.6
245.5,37.352348,-122.808824,4790.4
254.5,37.342398,-122.824743,4898.1
263.6,37.332448,-122.840663,5001.6
272.7,37.322497,-122.856582,5101.0
281.8,37.312547,-122.872502,5196.0
290.9,37.302597,-122.888421,5286.6
300.0,37.292647,-122.904341,5372.6
309.1,37.282697,-122.920260,5454.1
318.2,37.272747,-122.936179,5530.8
327.3,37.262797,-122.952099,5602.9
336.4,37.252847,-122.968018,5670.0
345.5,37.242897,-122.983938,5732.3
354.5,37.232947,-122.999857,5789.6
363.6,37.222997,-123.015776,5841.9
372.7,37.213047,-123.031696,5889.1
381.8,37.203096,-123.047615,5931.2
390.9,37.193146,-123.063535,5968.1
400.0,37.183196,-123.079454,5999.8
409.1,37.173246,-123.095373,6026.3
418.2,37.163296,-123.111293,6047.5
427.3,37.153346,-123.127212,6063.4
436.4,37.143396,-123.143132,6074.0
445.5,37.133446,-123.159051,6079.3
454.5,37.123496,-123.174970,6079.3
463.6,37.113546,-123.190890,6074.0
472.7,37.103596,-123.206809,6063.4
481.8,37.093646,-123.222729,6047.5
490.9,37.083695,-123.238648,6026.3
500.0,37.073745,-123.254568,5999.8
509.1,37.063795,-123.270487,5968.1
518.2,37.053845,-123.286406,5931.2
527.3,37.043895,-123.302326,5889.1
536.4,37.033945,-123.318245,5841.9
545.5,37.023995,-123.334165,5789.6
554.5,37.014045,-123.350084,5732.3
563.6,37.004095,-123.366003,5670.0
572.7,36.994145,-123.381923,5602.9
581.8,36.984195,-123.397842,5530.8
590.9,36.974245,-123.413762,5454.1
600.0,36.964294,-123.429681,5372.6
609.1,36.954344,-123.445600,5286.6
618.2,36.944394,-123.461520,5196.0
627.3,36.934444,-123.477439,5101.0
636.4,36.924494,-123.493359,5001.6
645.5,36.914544,-123.509278,4898.1
654.5,36.904594,-123.525197,4790.4
663.6,36.894644,-123.541117,4678.6
672.7,36.884694,-123.557036,4563.0
681.8,36.874744,-123.572956,4443.6
690.9,36.864794,-123.588875,4320.5
700.0,36.854843,-123.604795,4193.9
709.1,36.844893,-123.620714,4063.9
718.2,36.834943,-123.636633,3930.6
727.3,36.824993,-123.652553,3794.1
736.4,36.815043,-123.668472,3654.6
745.5,36.805093,-123.684392,3512.2
754.5,36.795143,-123.700311,3367.1
763.6,36.785193,-123.716230,3219.4
772.7,36.775243,-123.732150,3069.3
781.8,36.765293,-123.748069,2916.9
790.9,36.755343,-123.763989,2762.4
800.0,36.745393,-123.779908,2605.9
809.1,36.735442,-123.795827,2447.5
818.2,36.725492,-123.811747,2287.5
827.3,36.715542,-123.827666,2126.1
836.4,36.705592,-123.843586,1963.2
845.5,36.695642,-123.859505,1799.2
854.5,36.685692,-123.875424,1634.2
863.6,36.675742,-123.891344,1468.4
872.7,36.665792,-123.907263,1301.9
881.8,36.655842,-123.923183,1134.9
890.9,36.645892,-123.939102,967.5
900.0,36.635942,-123.955022,800.0
