time,lat,lon,alt
0.0000,30.483200,-86.525400,26.00
0.1000,30.483199,-86.525399,26.27
0.2000,30.483196,-86.525396,27.08
0.3000,30.483190,-86.525392,28.44
0.4000,30.483183,-86.525385,30.34
0.5000,30.483173,-86.525377,32.78
0.6000,30.483162,-86.525368,35.78
0.7000,30.483149,-86.525356,39.32
0.8000,30.483132,-86.525342,43.39
0.9000,30.483114,-86.525326,47.99
1.0000,30.483093,-86.525308,53.12
1.1000,30.483069,-86.525288,58.79
1.2000,30.483043,-86.525265,65.00
1.3000,30.483015,-86.525241,71.74
1.4000,30.482983,-86.525214,79.01
1.5000,30.482950,-86.525185,86.82
1.6000,30.482913,-86.525154,95.16
1.7000,30.482874,-86.525121,104.03
1.8000,30.482832,-86.525085,113.42
1.9000,30.482788,-86.525046,123.33
2.0000,30.482740,-86.525005,133.76
2.1000,30.482690,-86.524962,144.70
2.2000,30.482636,-86.524916,156.17
2.3000,30.482580,-86.524868,168.16
2.4000,30.482520,-86.524817,180.67
2.5000,30.482458,-86.524764,193.71
2.6000,30.482393,-86.524708,207.28
2.7000,30.482325,-86.524649,221.38
2.8000,30.482253,-86.524588,236.00
2.9000,30.482179,-86.524525,251.15
3.0000,30.482102,-86.524458,266.82
3.1000,30.482021,-86.524389,283.01
3.2000,30.481938,-86.524318,299.72
3.3000,30.481851,-86.524243,316.96
3.4000,30.481761,-86.524166,334.72
3.5000,30.481668,-86.524087,353.02
3.6000,30.481572,-86.524005,371.84
3.7000,30.481473,-86.523919,391.18
3.8000,30.481370,-86.523832,411.04
3.9000,30.481265,-86.523741,431.43
4.0000,30.481156,-86.523648,452.35
4.1000,30.481044,-86.523551,473.79
4.2000,30.480928,-86.523453,495.76
4.3000,30.480809,-86.523351,518.25
4.4000,30.480687,-86.523246,541.27
4.5000,30.480562,-86.523139,564.81
4.6000,30.480433,-86.523029,588.88
4.7000,30.480301,-86.522915,613.48
4.8000,30.480166,-86.522799,638.60
4.9000,30.480027,-86.522681,664.25
5.0000,30.479885,-86.522559,690.42
5.1000,30.479739,-86.522434,717.12
5.2000,30.479590,-86.522307,744.35
5.3000,30.479438,-86.522176,772.10
5.4000,30.479282,-86.522043,800.38
5.5000,30.479123,-86.521906,829.18
5.6000,30.478960,-86.521767,858.51
5.7000,30.478794,-86.521625,888.36
5.8000,30.478624,-86.521479,918.75
5.9000,30.478451,-86.521331,949.65
6.0000,30.478274,-86.521180,981.09
6.1000,30.478094,-86.521026,1013.05
6.2000,30.477910,-86.520869,1045.53
6.3000,30.477723,-86.520708,1078.54
6.4000,30.477532,-86.520545,1112.08
6.5000,30.477338,-86.520379,1146.14
6.6000,30.477140,-86.520209,1180.73
6.7000,30.476939,-86.520037,1215.84
6.8000,30.476733,-86.519862,1251.48
6.9000,30.476525,-86.519683,1287.64
7.0000,30.476313,-86.519502,1324.33
7.1000,30.476097,-86.519317,1361.54
7.2000,30.475877,-86.519129,1399.28
7.3000,30.475654,-86.518938,1437.54
7.4000,30.475428,-86.518745,1476.33
7.5000,30.475197,-86.518548,1515.64
7.6000,30.474963,-86.518347,1555.47
7.7000,30.474726,-86.518144,1595.83
7.8000,30.474484,-86.517938,1636.71
7.9000,30.474239,-86.517728,1678.12
8.0000,30.473991,-86.517516,1720.05
8.1000,30.473738,-86.517300,1762.50
8.2000,30.473482,-86.517081,1805.48
8.3000,30.473223,-86.516859,1848.98
8.4000,30.472959,-86.516634,1893.00
8.5000,30.472692,-86.516405,1937.54
8.6000,30.472421,-86.516174,1982.61
8.7000,30.472146,-86.515939,2028.20
8.8000,30.471868,-86.515701,2074.31
8.9000,30.471586,-86.515460,2120.94
9.0000,30.471300,-86.515215,2168.09
9.1000,30.471010,-86.514968,2215.77
9.2000,30.470717,-86.514717,2263.97
9.3000,30.470420,-86.514463,2312.68
9.4000,30.470119,-86.514206,2361.92
9.5000,30.469814,-86.513946,2411.68
9.6000,30.469506,-86.513682,2461.96
9.7000,30.469193,-86.513415,2512.76
9.8000,30.468877,-86.513145,2564.08
9.9000,30.468557,-86.512872,2615.93
10.0000,30.468234,-86.512595,2668.29
10.1000,30.467906,-86.512315,2721.17
10.2000,30.467575,-86.512032,2774.57
10.3000,30.467239,-86.511746,2828.49
10.4000,30.466900,-86.511456,2882.93
10.5000,30.466557,-86.511164,2937.90
10.6000,30.466211,-86.510867,2993.38
10.7000,30.465860,-86.510568,3049.38
10.8000,30.465505,-86.510265,3105.90
10.9000,30.465147,-86.509959,3162.93
11.0000,30.464785,-86.509650,3220.49
11.1000,30.464419,-86.509337,3278.57
11.2000,30.464049,-86.509021,3337.17
11.3000,30.463675,-86.508702,3396.29
11.4000,30.463297,-86.508379,3455.92
11.5000,30.462915,-86.508053,3516.08
11.6000,30.462529,-86.507724,3576.75
11.7000,30.462140,-86.507392,3637.95
11.8000,30.461746,-86.507056,3699.67
11.9000,30.461349,-86.506716,3761.90
12.0000,30.460947,-86.506374,3824.66
12.1000,30.460542,-86.506028,3887.94
12.2000,30.460132,-86.505678,3951.74
12.3000,30.459719,-86.505326,4016.06
12.4000,30.459302,-86.504970,4080.90
12.5000,30.458880,-86.504610,4146.26
12.6000,30.458455,-86.504247,4212.15
12.7000,30.458026,-86.503881,4278.55
12.8000,30.457592,-86.503511,4345.49
12.9000,30.457155,-86.503138,4412.94
13.0000,30.456713,-86.502761,4480.92
13.1000,30.456268,-86.502382,4549.42
13.2000,30.455818,-86.501998,4618.45
13.3000,30.455365,-86.501611,4688.00
13.4000,30.454907,-86.501221,4758.08
13.5000,30.454445,-86.500827,4828.68
13.6000,30.453980,-86.500430,4899.81
13.7000,30.453510,-86.500029,4971.48
13.8000,30.453036,-86.499625,5043.66
13.9000,30.452558,-86.499217,5116.38
14.0000,30.452075,-86.498806,5189.63
14.1000,30.451589,-86.498391,5263.41
14.2000,30.451098,-86.497973,5337.73
14.3000,30.450603,-86.497551,5412.57
14.4000,30.450104,-86.497126,5487.95
14.5000,30.449601,-86.496697,5563.87
14.6000,30.449094,-86.496265,5640.32
14.7000,30.448582,-86.495829,5717.31
14.8000,30.448067,-86.495389,5794.84
14.9000,30.447547,-86.494946,5872.91
15.0000,30.447022,-86.494499,5951.52
15.1000,30.446494,-86.494049,6030.68
15.2000,30.445961,-86.493595,6110.37
15.3000,30.445424,-86.493137,6190.62
15.4000,30.444882,-86.492676,6271.41
15.5000,30.444336,-86.492211,6352.75
15.6000,30.443786,-86.491742,6434.64
15.7000,30.443232,-86.491270,6517.08
15.8000,30.442673,-86.490794,6600.07
15.9000,30.442109,-86.490314,6683.62
16.0000,30.441542,-86.489830,6767.73
16.1000,30.440969,-86.489343,6852.40
16.2000,30.440393,-86.488852,6937.63
16.3000,30.439812,-86.488357,7023.43
16.4000,30.439226,-86.487858,7109.79
16.5000,30.438636,-86.487356,7196.71
16.6000,30.438041,-86.486849,7284.21
16.7000,30.437442,-86.486339,7372.28
16.8000,30.436838,-86.485825,7460.93
16.9000,30.436229,-86.485307,7550.15
17.0000,30.435616,-86.484785,7639.96
17.1000,30.434999,-86.484260,7730.35
17.2000,30.434376,-86.483730,7821.32
17.3000,30.433749,-86.483196,7912.88
17.4000,30.433117,-86.482658,8005.04
17.5000,30.432481,-86.482117,8097.79
17.6000,30.431840,-86.481571,8191.13
17.7000,30.431193,-86.481021,8285.08
17.8000,30.430542,-86.480467,8379.63
17.9000,30.429887,-86.479909,8474.80
18.0000,30.429226,-86.479347,8570.57
18.1000,30.428560,-86.478781,8666.95
18.2000,30.427890,-86.478210,8763.96
18.3000,30.427214,-86.477636,8861.59
18.4000,30.426533,-86.477057,8959.84
18.5000,30.425848,-86.476474,9058.73
18.6000,30.425157,-86.475886,9158.25
18.7000,30.424461,-86.475294,9258.41
18.8000,30.423760,-86.474698,9359.21
18.9000,30.423054,-86.474097,9460.66
19.0000,30.422343,-86.473493,9562.76
19.1000,30.421626,-86.472883,9665.51
19.2000,30.420904,-86.472269,9768.93
19.3000,30.420177,-86.471651,9873.02
19.4000,30.419444,-86.471028,9977.78
19.5000,30.418706,-86.470401,10083.22
19.6000,30.417963,-86.469769,10189.35
19.7000,30.417214,-86.469133,10296.17
19.8000,30.416460,-86.468492,10403.71
19.9000,30.415700,-86.467846,10511.98
20.0000,30.414936,-86.467196,10621.06
20.1000,30.414172,-86.466547,10730.38
20.2000,30.413415,-86.465904,10839.46
20.3000,30.412674,-86.465273,10948.45
20.4000,30.411963,-86.464667,11055.35
20.5000,30.411265,-86.464074,11155.65
20.6000,30.410621,-86.463525,11255.07
20.7000,30.410004,-86.462999,11350.46
20.8000,30.409389,-86.462475,11443.79
